Designator,Mid X,Mid Y,Rotation,Layer
BT1,152.700001,-89.0,0.0,bottom
D1,138.27,-72.5,0.0,top
D2,144.77,-68.0,0.0,top
D3,151.995,-65.5,0.0,top
D4,158.77,-69.5,0.0,top
D5,165.23,-73.0,0.0,top
M1,161.0,-115.27,0.0,bottom
Q1,143.27,-116.365,0.0,bottom
R1,135.0,-86.0,90.0,bottom
R2,153.0,-109.0,0.0,top
R3,152.84,-124.25,0.0,bottom
R4,152.84,-120.95,0.0,bottom
R5,138.5,-86.0,90.0,bottom
R6,152.5,-76.0,180.0,bottom
R7,167.5,-86.69,90.0,bottom
R8,171.0,-86.69,90.0,bottom
SW1,152.75,-115.25,0.0,top
